,Batch size,Training Time ,Train Acc, Val Acc,Test Acc
0,2,28.409046173095703,99.94078168180023,99.84208448480064,99.90543735224587
1,16,10.27370810508728,99.9506514015002,99.8026056060008,99.90543735224587
2,128,5.733365058898926,99.94078168180023,99.76312672720094,99.90543735224587
3,1024,5.083993196487427,98.8748519542045,99.36833793920253,99.47990543735224
