,N,Batch size,Train Time ,Train Acc, Val Acc,Test Acc,F1-Val,F1-Test
0,100,64,0.48975682258605957,100.0,99.91659716430358,100.0,0.962962962962963,1.0
1,250,64,0.37547802925109863,100.0,100.0,99.89837398373983,1.0,0.888888888888889
2,500,64,0.35781288146972656,100.0,100.0,100.0,1.0,1.0
3,750,64,0.3615548610687256,100.0,100.0,100.0,1.0,1.0
4,1000,64,0.35179615020751953,100.0,100.0,100.0,1.0,1.0
5,1250,64,0.41110706329345703,99.91564740615775,100.0,100.0,1.0,1e-06
6,1500,64,0.3651092052459717,99.95781480700275,99.91568296795953,100.0,0.0,1e-06
7,1750,64,0.35089993476867676,99.957805907173,99.91568296795953,100.0,0.0,1e-06
8,2000,64,0.34905385971069336,99.957805907173,99.91568296795953,100.0,0.0,1e-06
