,N,Batch Size,Weight,Train Time ,Train Acc, Val Acc,Test Acc,F1-Val,F1-Test
0,100,64,1,0.3811149597167969,98.72677937800042,98.83236030025022,46.335697399527184,0.0,0.0
1,100,64,10,0.36420679092407227,100.0,100.0,99.24349881796691,1.0,0.9929015084294588
2,100,64,50,0.3393549919128418,99.9791275307869,100.0,99.71631205673759,1.0,0.9973544973544974
3,100,64,89,0.30098772048950195,99.91651012314757,100.0,99.81087470449172,1.0,0.9982378854625551
4,250,64,1,0.4147970676422119,99.95796553173602,99.91603694374476,94.98817966903073,0.9090909090909091,0.9510166358595193
5,250,64,25,0.30780696868896484,100.0,100.0,97.63593380614657,1.0,0.9774774774774774
6,250,64,125,0.35277795791625977,100.0,100.0,99.62174940898345,1.0,0.9964633068081343
7,250,64,236,0.3816089630126953,100.0,100.0,99.24349881796691,1.0,0.9929015084294588
8,500,64,1,0.3990058898925781,99.85256950294861,99.74747474747475,46.335697399527184,0.0,0.0
9,500,64,50,0.3307678699493408,100.0,100.0,91.39479905437352,1.0,0.9128352490421456
10,500,64,250,0.3949148654937744,100.0,100.0,97.96690307328605,1.0,0.9806915132465199
11,500,64,473,0.3958263397216797,100.0,100.0,98.2033096926714,1.0,0.9829749103942653
12,750,64,1,0.3959510326385498,99.89460370994941,99.83150800336983,46.335697399527184,0.0,0.0
13,750,64,75,0.3297238349914551,100.0,100.0,96.17021276595744,1.0,0.962996802192782
14,750,64,375,0.4149751663208008,100.0,100.0,99.52718676122932,1.0,0.9955752212389382
15,750,64,789,0.3520548343658447,99.97892074198988,100.0,99.76359338061465,1.0,0.9977944419938243
16,1000,64,1,0.36322879791259766,99.93673555461831,99.83150800336983,46.335697399527184,0.0,0.0
17,1000,64,100,0.3345458507537842,92.51370729649936,99.83150800336983,46.335697399527184,0.0,0.0
18,1000,64,500,0.4134678840637207,100.0,100.0,99.52718676122932,1.0,0.9955791335101679
19,1000,64,1184,0.34886670112609863,100.0,100.0,99.14893617021276,1.0,0.9920141969831411
20,1250,64,1,0.34647417068481445,99.93673555461831,99.91568296795953,46.335697399527184,0.0,0.0
21,1250,64,125,0.30638694763183594,100.0,100.0,86.71394799054373,1.0,0.8587229763700351
22,1250,64,625,0.3035449981689453,66.74398987768873,99.91568296795953,46.335697399527184,0.0,0.0
23,1250,64,1184,0.3261749744415283,100.0,100.0,94.51536643026004,1.0,0.9461467038068709
24,1500,64,1,0.3778979778289795,99.93672221050412,99.91568296795953,46.335697399527184,0.0,0.0
25,1500,64,150,0.46704983711242676,100.0,100.0,69.73995271867612,1.0,0.607361963190184
26,1500,64,750,0.38518500328063965,100.0,100.0,89.69267139479905,1.0,0.8937621832358674
27,1500,64,1579,0.5092880725860596,100.0,100.0,92.76595744680851,1.0,0.9277279168634861
28,1750,64,1,0.3660919666290283,99.9789029535865,99.91568296795953,46.335697399527184,0.0,0.0
29,1750,64,175,0.34121012687683105,100.0,99.91568296795953,48.60520094562648,0.0,0.08114961961115807
30,1750,64,875,0.35529589653015137,100.0,100.0,74.51536643026004,1.0,0.6886192952050837
31,1750,64,2369,0.39449024200439453,100.0,100.0,88.32151300236407,1.0,0.8779041028175976
32,2000,64,1,0.4269247055053711,99.9789029535865,99.91568296795953,46.335697399527184,0.0,0.0
33,2000,64,200,0.3607900142669678,100.0,99.91568296795953,90.16548463356973,0.0,0.8991270611057225
34,2000,64,1000,0.32529687881469727,100.0,100.0,99.19621749408984,1.0,0.9924545051043054
35,2000,64,2369,0.44772911071777344,100.0,100.0,99.05437352245863,1.0,0.9911111111111112
